Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 / 45 m²,$ 160.000.000
Apartamento,Apartamento en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación1 baño33 / 33 m²,$ 270.000.000
Apartamento,Apartamento en venta en Nicolas De Federman,"Nicolas De Federman, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños106 / 106 m²,$ 570.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño47 / 47 m²,$ 170.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños103 m²,$ 990.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",12 habitaciones5 baños288 / 72 m²,$ 398.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños60 / 60 m²,$ 535.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños56 / 56 m²,$ 500.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 m²,$ 240.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños184 / 184 m²,$ 1.200.000.000
Casa,Casa en venta en Castilla,"Castilla, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños65 / 65 m²,$ 310.000.000
Apartamento,Apartamento en venta en Mirandela ,"Mirandela , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños120 m²,$ 350.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños130 / 130 m²,$ 320.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños122 / 122 m²,$ 1.450.000.000
Casa,Casa en venta en Chapinero Alto,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",6 habitaciones6 baños455 / 455 m²,$ 2.200.000.000
Apartamento,Apartamento en venta en Gran Granada,"Gran Granada, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 m²,$ 242.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones2 baños72 m²,$ 350.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños98 / 32 m²,$ 400.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños75 m²,$ 185.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños96 m²,$ 485.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños105 m²,$ 494.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño43 m²,$ 270.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños220 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños138 m²,$ 980.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones5 baños346 m²,$ 1.350.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños121 m²,$ 850.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño42 m²,$ 256.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños55 m²,$ 340.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños76 m²,$ 385.000.000
Casa,Casa en venta en La Candelaria,"La Candelaria, Zona Centro, Bogotá D.C, Cundinamarca",6 habitaciones6 baños540 / 540 m²,$ 2.900.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños300 / 300 m²,$ 970.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones5 baños260 / 260 m²,$ 1.350.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación1 baño65 m²,$ 240.000.000
Edificio,Edificio en venta en Las Nieves,"Las Nieves, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",15 habitaciones6 baños1800 / 1800 m²,$ 7.000.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones6 baños583 / 1460 m²,$ 2.650.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños145 m²,$ 1.100.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones5 baños500 / 500 m²,$ 2.700.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones7 baños324 / 324 m²,$ 2.500.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños160 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 m²,$ 230.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños150 / 150 m²,$ 540.000.000
Casa,Casa en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños133 / 133 m²,$ 710.000.000
Casa,Casa en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",5 habitaciones3 baños133 / 133 m²,$ 610.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño50 / 50 m²,$ 170.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",5 habitaciones4 baños170 / 170 m²,$ 1.700.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 / 63 m²,$ 240.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños220 / 220 m²,$ 1.299.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños277 / 277 m²,$ 900.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños108 / 108 m²,$ 780.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños259 m²,$ 2.500.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños236 / 236 m²,$ 750.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños61 m²,$ 495.000.000
Casa,Casa en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños158 / 180 m²,$ 650.000.000
Apartamento,Apartamento en venta en Castilla,"Castilla, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños76 / 76 m²,$ 385.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños360 / 360 m²,$ 1.400.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños247 / 247 m²,$ 1.820.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños118 / 118 m²,$ 460.000.000
Apartamento,Apartamento en venta en Chapinero Alto,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños86 / 86 m²,$ 650.000.000
Apartamento,Apartamento en venta en Chico Navarra,"Chico Navarra, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones5 baños192 / 192 m²,$ 1.250.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones3 baños122 / 122 m²,$ 390.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños60 / 60 m²,$ 480.000.000
Edificio,Edificio en venta en Restrepo,"Restrepo, Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",13 habitaciones6 baños600 / 266 m²,$ 1.300.000.000
Apartamento,Apartamento en venta en Chico Norte Ii,"Chico Norte Ii, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños133 / 133 m²,$ 550.000.000
Apartamento,Apartamento en venta en Hayuelos,"Hayuelos, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 / 40 m²,$ 280.000.000
Casa,Casa en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones4 baños220 / 220 m²,$ 1.250.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño50 / 50 m²,$ 140.000.000
Apartamento,Apartamento en venta en Chapinero Central,"Chapinero Central, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño35 m²,$ 230.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños98 m²,$ 650.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños140 m²,$ 790.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 77 m²,$ 350.000.000
Casa,Casa en venta en Bosque Popular,"Bosque Popular, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",8 habitaciones6 baños354 / 124 m²,$ 880.000.000
Casa,Casa en venta en Modelia,"Modelia, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",7 habitaciones6 baños287 / 287 m²,$ 750.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños66 / 66 m²,$ 318.000.000
Lote,Lote en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones2 baños218 / 218 m²,$ 1.100.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños105 / 105 m²,$ 750.000.000
Casa,Casa en venta en Pontevedra ,"Pontevedra , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños267 / 253 m²,$ 1.100.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños77 / 77 m²,$ 850.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños105 m²,$ 790.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños179 / 179 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",4 habitaciones4 baños205 / 205 m²,$ 2.150.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños149 / 149 m²,$ 950.000.000
Apartamento,Apartamento en venta en Chico Navarra,"Chico Navarra, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños63 / 63 m²,$ 360.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños84 / 84 m²,$ 550.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",8 habitaciones5 baños288 / 288 m²,$ 560.000.000
Apartamento,Apartamento en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",2 habitaciones2 baños64 / 64 m²,$ 620.000.000
Apartamento,Apartamento en venta en Pontevedra ,"Pontevedra , Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños110 / 110 m²,$ 540.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños115 / 115 m²,$ 550.000.000
Casa,Casa en venta en Normandia,"Normandia, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones4 baños325 / 325 m²,$ 800.000.000
Casa,Casa en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",8 habitaciones5 baños435 / 435 m²,$ 950.000.000
Apartamento,Apartamento en venta en Chapinero Alto,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños100 / 100 m²,$ 525.000.000
Apartamento,Apartamento en venta en Chapinero Alto,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños131 / 131 m²,$ 846.000.000
Apartamento,Apartamento en venta en El Virrey,"El Virrey, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación2 baños64 / 64 m²,$ 635.000.000
Apartamento,Apartamento en venta en Colina Campestre,"Colina Campestre, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños85 / 85 m²,$ 345.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños140 / 140 m²,$ 880.000.000
Apartamento,Apartamento en venta en La Salle,"La Salle, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños136 / 136 m²,$ 960.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños80 / 80 m²,$ 460.000.000
Casa,Casa en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones5 baños316 / 316 m²,$ 2.400.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños324 / 324 m²,$ 4.238.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños80 m²,$ 380.000.000
Apartamento,Apartamento en venta en Pinar De Suba,"Pinar De Suba, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 79 m²,$ 278.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños165 / 165 m²,$ 979.999.000
Apartamento,Apartamento en venta en Chapinero Alto,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños125 / 133 m²,$ 1.590.000.000
Casa,Casa en venta en Estrada,"Estrada, Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",10 habitaciones5 baños210 / 210 m²,$ 500.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños154 / 154 m²,$ 850.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones4 baños156 m²,$ 960.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños56 / 56 m²,$ 162.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños87 / 87 m²,$ 400.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños123 / 136 m²,$ 740.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños270 / 300 m²,$ 2.250.000.000
Apartamento,Apartamento en venta en Los Rosales,"Los Rosales, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños116 / 116 m²,$ 800.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño50 / 50 m²,$ 155.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños95 m²,$ 580.000.000
Apartamento,Apartamento en venta en El Retiro,"El Retiro, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones4 baños270 / 270 m²,$ 2.500.000.000
Apartamento,Apartamento en venta en Parque Central Bavaria,"Parque Central Bavaria, Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación2 baños45 / 39 m²,$ 357.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños120 / 120 m²,$ 599.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones8 baños417 / 417 m²,$ 1.950.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños101 m²,$ 880.000.000
Apartamento,Apartamento en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños87 m²,$ 470.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 / 42 m²,$ 147.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación1 baño38 / 38 m²,$ 215.000.000
Edificio,Edificio en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",4 habitaciones5 baños423 / 83 m²,$ 1.700.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación1 baño37 / 37 m²,$ 205.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños163 / 40 m²,$ 200.000.000
Casa,Casa en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño511 / 511 m²,$ 3.200.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños119 m²,$ 840.000.000
Apartamento,Apartamento en venta en Las Villas,"Las Villas, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños97 m²,$ 567.240.000
Apartamento,Apartamento en venta en Chapinero Alto,"Chapinero Alto, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños97 m²,$ 570.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños130 m²,$ 830.000.000
Casa,Casa en venta en Las Villas,"Las Villas, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",6 habitaciones4 baños291 m²,$ 1.250.000.000
Apartamento,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños112 / 112 m²,$ 520.000.000
Apartamento,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",4 habitaciones4 baños110 m²,$ 890.000.000
